id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince,hrID,hdbID,verified,name
8451857,https://assets.nhle.com/mugs/nhl/19821983/NJD/8451857.png,Steve,Tambellini,14,C,L,72,185,183,84,1958-05-14,Trail,CAN,British Columbia,"","",false,Steve Tambellini
8452197,https://assets.nhle.com/mugs/nhl/19821983/NJD/8452197.png,Yvon,Vautour,19,R,L,72,200,183,91,1956-09-10,St. John,CAN,New Brunswick,"","",false,Yvon Vautour
8452216,https://assets.nhle.com/mugs/nhl/19821983/NJD/8452216.png,Pat,Verbeek,16,R,R,69,190,175,86,1964-05-24,Sarnia,CAN,Ontario,"","",false,Pat Verbeek
8452368,https://assets.nhle.com/mugs/nhl/19821983/NJD/8452368.png,John,Wensink,18,L,L,70,198,178,90,1953-04-01,Cornwall,CAN,Ontario,"","",false,John Wensink
8445722,https://assets.nhle.com/mugs/nhl/19821983/NJD/8445722.png,Murray,Brumwell,25,D,L,74,190,188,86,1960-03-31,Calgary,CAN,Alberta,"","",false,Murray Brumwell
8446062,https://assets.nhle.com/mugs/nhl/19821983/NJD/8446062.png,Joe,Cirella,6,D,R,75,210,191,95,1963-05-09,Hamilton,CAN,Ontario,"","",false,Joe Cirella
8456667,https://assets.nhle.com/mugs/nhl/19821983/NJD/8456667.png,Dave,Hutchison,5,D,L,75,205,191,93,1952-05-02,London,CAN,Ontario,"","",false,Dave Hutchison
8448498,https://assets.nhle.com/mugs/nhl/19821983/NJD/8448498.png,Mike,Kitchen,26,D,L,70,185,178,84,1956-02-01,Newmarket,CAN,Ontario,"","",false,Mike Kitchen
8448817,https://assets.nhle.com/mugs/nhl/19821983/NJD/8448817.png,Tapio,Levo,8,D,L,72,191,183,87,1955-09-24,Pori,FIN,"","",false,"",Tapio Levo
8448885,https://assets.nhle.com/mugs/nhl/19821983/NJD/8448885.png,Bob,Lorimer,4,D,R,72,200,183,91,1953-08-25,Toronto,CAN,Ontario,"","",false,Bob Lorimer
8450135,https://assets.nhle.com/mugs/nhl/19821983/NJD/8450135.png,Rob,Palmer,6,D,R,71,190,180,86,1956-09-10,Sarnia,CAN,Ontario,"","",false,Rob Palmer
8450633,https://assets.nhle.com/mugs/nhl/19821983/NJD/8450633.png,Joel,Quenneville,3,D,L,73,200,185,91,1958-09-15,Windsor,CAN,Ontario,"","",false,Joel Quenneville
8452140,https://assets.nhle.com/mugs/nhl/19821983/NJD/8452140.png,Carol,Vadnais,5,D,L,73,185,185,84,1945-09-25,Montréal,CAN,Quebec,"","",false,Carol Vadnais
8448891,https://assets.nhle.com/mugs/nhl/19821983/NJD/8448891.png,Ron,Low,30,G,L,73,205,185,93,1950-06-21,Birtle,CAN,Manitoba,"","",false,Ron Low
8448965,https://assets.nhle.com/mugs/nhl/19821983/NJD/8448965.png,Shawn,MacKenzie,31,G,L,70,174,178,79,1962-08-22,Halifax,CAN,Nova Scotia,"","",false,Shawn MacKenzie
8449588,https://assets.nhle.com/mugs/nhl/19821983/NJD/8449588.png,Lindsay,Middlebrook,33,G,R,66,169,168,77,1955-09-07,Collingwood,CAN,Ontario,"","",false,Lindsay Middlebrook
8450802,https://assets.nhle.com/mugs/nhl/19821983/NJD/8450802.png,Glenn,Resch,1,G,L,68,165,173,75,1948-07-10,Moose Jaw,CAN,Saskatchewan,"","",false,Glenn Resch
8445685,https://assets.nhle.com/mugs/nhl/19831984/NJD/8445685.png,Mel,Bridgman,10,C,L,72,190,183,86,1955-04-28,Trenton,CAN,Ontario,"","",false,Mel Bridgman
8446054,https://assets.nhle.com/mugs/nhl/19831984/NJD/8446054.png,Richard,Chernomaz,11,R,R,68,185,173,84,1963-09-01,Selkirk,CAN,Manitoba,"","",false,Richard Chernomaz
8447812,https://assets.nhle.com/mugs/nhl/19831984/NJD/8447812.png,Tim,Higgins,15,R,R,72,185,183,84,1958-02-07,Ottawa,CAN,Ontario,"","",false,Tim Higgins
8448288,https://assets.nhle.com/mugs/nhl/19831984/NJD/8448288.png,John,Johannson,14,C,L,73,175,185,79,1961-10-18,Rochester,USA,Minnesota,"","",false,John Johannson
8449499,https://assets.nhle.com/mugs/nhl/19831984/NJD/8449499.png,John,MacLean,51,R,R,72,200,183,91,1964-11-20,Oshawa,CAN,Ontario,"","",false,John MacLean
8449318,https://assets.nhle.com/mugs/nhl/19831984/NJD/8449318.png,Kevin,Maxwell,21,C,68,165,173,75,1960-03-30,Chilliwack,CAN,British Columbia,"","",false,Kevin Maxwell
8449320,https://assets.nhle.com/mugs/nhl/19831984/NJD/8449320.png,Gary,McAdam,15,R,L,71,175,180,79,1955-12-31,Smiths Falls,CAN,Ontario,"","",false,Gary McAdam
8449734,https://assets.nhle.com/mugs/nhl/19831984/NJD/8449734.png,Grant,Mulvey,22,R,76,200,193,91,1956-09-17,Sudbury,CAN,Ontario,"","",false,Grant Mulvey
8451968,https://assets.nhle.com/mugs/nhl/19831984/NJD/8451968.png,Rocky,Trottier,26,C,R,70,182,178,83,1964-04-11,Climax,CAN,Saskatchewan,"","",false,Rocky Trottier
8446309,https://assets.nhle.com/mugs/nhl/19831984/NJD/8446309.png,Ken,Daneyko,3,D,L,73,215,185,98,1964-04-17,Windsor,CAN,Ontario,"","",false,Ken Daneyko
8446484,https://assets.nhle.com/mugs/nhl/19831984/NJD/8446484.png,Bruce,Driver,33,D,L,72,185,183,84,1962-04-29,Toronto,CAN,Ontario,"","",false,Bruce Driver
8447753,https://assets.nhle.com/mugs/nhl/19831984/NJD/8447753.png,Alan,Hepple,5,D,L,69,200,175,91,1963-08-16,Blaydon-on-Tyne,GBR,"","",false,"",Alan Hepple
8447918,https://assets.nhle.com/mugs/nhl/19831984/NJD/8447918.png,Bob,Hoffmeyer,21,D,L,72,195,183,88,1955-07-27,Dodsland,CAN,Saskatchewan,"","",false,Bob Hoffmeyer
8448811,https://assets.nhle.com/mugs/nhl/19831984/NJD/8448811.png,Dave,Lewis,25,D,L,74,205,188,93,1953-07-03,Kindersley,CAN,Saskatchewan,"","",false,Dave Lewis
8451075,https://assets.nhle.com/mugs/nhl/19831984/NJD/8451075.png,Phil,Russell,5,D,R,74,200,188,91,1952-07-21,Edmonton,CAN,Alberta,"","",false,Phil Russell
8444894,https://assets.nhle.com/mugs/nhl/19841985/NJD/8444894.png,Greg,Adams,17,L,L,76,196,193,89,1963-08-15,Nelson,CAN,British Columbia,"","",false,Greg Adams
8449740,https://assets.nhle.com/mugs/nhl/19841985/NJD/8449740.png,Kirk,Muller,22,L,L,72,205,183,93,1966-02-08,Kingston,CAN,Ontario,"","",false,Kirk Muller
8450539,https://assets.nhle.com/mugs/nhl/19841985/NJD/8450539.png,Rich,Preston,16,R,R,72,187,183,85,1952-05-22,Regina,CAN,Saskatchewan,"","",false,Rich Preston
8451778,https://assets.nhle.com/mugs/nhl/19841985/NJD/8451778.png,Doug,Sulliman,9,L,L,74,209,188,95,1959-08-29,Glace Bay,CAN,Nova Scotia,"","",false,Doug Sulliman
8452490,https://assets.nhle.com/mugs/nhl/19841985/NJD/8452490.png,Mitch,Wilson,33,R,L,72,238,183,108,1960-02-15,Calgary,CAN,Alberta,"","",false,Mitch Wilson
8447806,https://assets.nhle.com/mugs/nhl/19841985/NJD/8447806.png,Uli,Hiemer,28,D,L,73,190,185,86,1962-09-21,Fussen,DEU,"","",false,"",Uli Hiemer
8450378,https://assets.nhle.com/mugs/nhl/19841985/NJD/8450378.png,Dave,Pichette,32,D,L,75,191,191,87,1960-02-04,Grand Falls,CAN,Newfoundland and Labrador,"","",false,Dave Pichette
8448408,https://assets.nhle.com/mugs/nhl/19841985/NJD/8448408.png,Hannu,Kamppuri,33,G,L,72,171,183,78,1957-07-01,Helsinki,FIN,"","",false,"",Hannu Kamppuri
8444947,https://assets.nhle.com/mugs/nhl/19851986/NJD/8444947.png,Perry,Anderson,25,L,L,73,225,185,102,1961-10-14,Barrie,CAN,Ontario,"","",false,Perry Anderson
8446129,https://assets.nhle.com/mugs/nhl/19851986/NJD/8446129.png,Pat,Conacher,28,L,L,68,190,173,86,1959-05-01,Edmonton,CAN,Alberta,"","",false,Pat Conacher
8446448,https://assets.nhle.com/mugs/nhl/19851986/NJD/8446448.png,Dan,Dorion,14,C,R,69,180,175,82,1963-03-02,Astoria,USA,New York,"","",false,Dan Dorion
8448304,https://assets.nhle.com/mugs/nhl/19851986/NJD/8448304.png,Mark,Johnson,12,C,L,69,170,175,77,1957-09-22,Madison,USA,Wisconsin,"","",false,Mark Johnson
8449525,https://assets.nhle.com/mugs/nhl/19851986/NJD/8449525.png,Peter,McNab,8,C,L,75,205,191,93,1952-05-08,Vancouver,CAN,British Columbia,"","",false,Peter McNab
8451719,https://assets.nhle.com/mugs/nhl/19851986/NJD/8451719.png,Allan,Stewart,10,L,L,72,195,183,88,1964-01-31,Fort St. John,CAN,British Columbia,"","",false,Allan Stewart
8446405,https://assets.nhle.com/mugs/nhl/19851986/NJD/8446405.png,Don,Dietrich,32,D,L,74,205,188,93,1961-04-05,Deloraine,CAN,Manitoba,"","",false,Don Dietrich
8452209,https://assets.nhle.com/mugs/nhl/19851986/NJD/8452209.png,Randy,Velischek,27,D,L,72,200,183,91,1962-02-10,Montréal,CAN,Quebec,"","",false,Randy Velischek
8452516,https://assets.nhle.com/mugs/nhl/19851986/NJD/8452516.png,Craig,Wolanin,6,D,L,76,215,193,98,1967-07-27,Grosse Pointe,USA,Michigan,"","",false,Craig Wolanin
8445470,https://assets.nhle.com/mugs/nhl/19851986/NJD/8445470.png,Craig,Billington,1,G,L,70,168,178,76,1966-09-11,London,CAN,Ontario,"","",false,Craig Billington
8446052,https://assets.nhle.com/mugs/nhl/19851986/NJD/8446052.png,Alain,Chevrier,30,G,L,68,180,173,82,1961-04-23,Cornwall,CAN,Ontario,"","",false,Alain Chevrier
8449474,https://assets.nhle.com/mugs/nhl/19851986/NJD/8449474.png,Kirk,McLean,30,G,L,72,182,183,83,1966-06-26,Willowdale,CAN,Ontario,"","",false,Kirk McLean
8451743,https://assets.nhle.com/mugs/nhl/19851986/NJD/8451743.png,Sam,St. Laurent,35,G,L,70,190,178,86,1959-02-16,Arvida,CAN,Quebec,"","",false,Sam St. Laurent
8445683,https://assets.nhle.com/mugs/nhl/19861987/NJD/8445683.png,Andy,Brickley,25,L,L,71,200,180,91,1961-08-09,Melrose,USA,Massachusetts,"","",false,Andy Brickley
8445730,https://assets.nhle.com/mugs/nhl/19861987/NJD/8445730.png,Doug,Brown,17,R,R,71,185,180,84,1964-06-12,Southborough,USA,Massachusetts,"","",false,Doug Brown
8445937,https://assets.nhle.com/mugs/nhl/19861987/NJD/8445937.png,Anders,Carlsson,20,C,L,71,185,180,84,1960-11-25,Gavle,SWE,"","",false,"",Anders Carlsson
8448799,https://assets.nhle.com/mugs/nhl/19861987/NJD/8448799.png,Tim,Lenardon,33,C,L,74,185,188,84,1962-05-11,Trail,CAN,British Columbia,"","",false,Tim Lenardon
8448870,https://assets.nhle.com/mugs/nhl/19861987/NJD/8448870.png,Claude,Loiselle,19,C,L,71,195,180,88,1963-05-29,Ottawa,CAN,Ontario,"","",false,Claude Loiselle
8445557,https://assets.nhle.com/mugs/nhl/19861987/NJD/8445557.png,Timo,Blomqvist,17,D,R,72,200,183,91,1961-01-23,Helsinki,FIN,"","",false,"",Timo Blomqvist
8449167,https://assets.nhle.com/mugs/nhl/19861987/NJD/8449167.png,Gordon,Mark,4,D,R,76,218,193,99,1964-09-10,Edmonton,CAN,Alberta,"","",false,Gordon Mark
8450811,https://assets.nhle.com/mugs/nhl/19861987/NJD/8450811.png,Steve,Richmond,41,D,L,73,205,185,93,1959-12-11,Chicago,USA,Illinois,"","",false,Steve Richmond
8446971,https://assets.nhle.com/mugs/nhl/19861987/NJD/8446971.png,Karl,Friesen,34,G,L,71,154,180,70,1958-06-30,Winnipeg,CAN,Manitoba,"","",false,Karl Friesen
8451860,https://assets.nhle.com/mugs/nhl/19861987/NJD/8451860.png,Chris,Terreri,30,G,L,69,170,175,77,1964-11-15,Providence,USA,Rhode Island,"","",false,Chris Terreri
8446072,https://assets.nhle.com/mugs/nhl/19871988/NJD/8446072.png,Christopher,Cichocki,15,R,R,71,185,180,84,1963-09-17,Warren,USA,Michigan,"","",false,Christopher Cichocki
8446252,https://assets.nhle.com/mugs/nhl/19871988/NJD/8446252.png,Troy,Crowder,25,R,R,76,220,193,100,1968-05-03,Sudbury,CAN,Ontario,"","",false,Troy Crowder
8449095,https://assets.nhle.com/mugs/nhl/19871988/NJD/8449095.png,David,Maley,8,L,L,74,195,188,88,1963-04-24,Beaver Dam,USA,Wisconsin,"","",false,David Maley
8449513,https://assets.nhle.com/mugs/nhl/19871988/NJD/8449513.png,George,McPhee,37,L,L,69,174,175,79,1958-07-02,Guelph,CAN,Ontario,"","",false,George McPhee
8451302,https://assets.nhle.com/mugs/nhl/19871988/NJD/8451302.png,Brendan,Shanahan,14,R,R,75,220,191,100,1969-01-23,Mimico,CAN,Ontario,"","",false,Brendan Shanahan
8451786,https://assets.nhle.com/mugs/nhl/19871988/NJD/8451786.png,Patrik,Sundstrom,17,C,L,73,200,185,91,1961-12-14,Skelleftea,SWE,"","",false,"",Patrik Sundstrom
8448523,https://assets.nhle.com/mugs/nhl/19871988/NJD/8448523.png,Jim,Korn,20,D,L,76,220,193,100,1957-07-28,Hopkins,USA,Minnesota,"","",false,Jim Korn
8448568,https://assets.nhle.com/mugs/nhl/19871988/NJD/8448568.png,Tom,Kurvers,28,D,L,72,195,183,88,1962-09-14,Minneapolis,USA,Minnesota,"","",false,Tom Kurvers
8449949,https://assets.nhle.com/mugs/nhl/19871988/NJD/8449949.png,Jack,O'callahan,5,D,R,72,187,183,85,1957-07-24,Charlestown,USA,Massachusetts,"","",false,Jack O'callahan
8445769,https://assets.nhle.com/mugs/nhl/19871988/NJD/8445769.png,Sean,Burke,1,G,L,76,209,193,95,1967-01-29,Windsor,CAN,Ontario,"","",false,Sean Burke
8451143,https://assets.nhle.com/mugs/nhl/19871988/NJD/8451143.png,Bob,Sauve,18,G,L,68,175,173,79,1955-06-17,Ste-Genevieve,CAN,Quebec,"","",false,Bob Sauve
8449718,https://assets.nhle.com/mugs/nhl/19881989/NJD/8449718.png,Jon,Morris,20,C,R,72,175,183,79,1966-05-06,Lowell,USA,Massachusetts,"","",false,Jon Morris
8449964,https://assets.nhle.com/mugs/nhl/19881989/NJD/8449964.png,Janne,Ojanen,22,C,L,74,200,188,91,1968-04-09,Tampere,FIN,"","",false,"",Janne Ojanen
8451008,https://assets.nhle.com/mugs/nhl/19881989/NJD/8451008.png,Steve,Rooney,18,C,L,70,185,178,84,1962-06-28,Canton,USA,Massachusetts,"","",false,Steve Rooney
8451901,https://assets.nhle.com/mugs/nhl/19881989/NJD/8451901.png,Kevin,Todd,14,C,L,70,180,178,82,1968-05-04,Winnipeg,CAN,Manitoba,"","",false,Kevin Todd
8452571,https://assets.nhle.com/mugs/nhl/19881989/NJD/8452571.png,Paul,Ysebaert,14,L,L,73,194,185,88,1966-05-15,Corunna,CAN,Ontario,"","",false,Paul Ysebaert
8444919,https://assets.nhle.com/mugs/nhl/19881989/NJD/8444919.png,Tommy,Albelin,6,D,L,74,195,188,88,1964-05-21,Stockholm,SWE,"","",false,"",Tommy Albelin
8446936,https://assets.nhle.com/mugs/nhl/19881989/NJD/8446936.png,Corey,Foster,44,D,L,75,204,191,93,1969-10-27,Ottawa,CAN,Ontario,"","",false,Corey Foster
8448104,https://assets.nhle.com/mugs/nhl/19881989/NJD/8448104.png,Jamie,Huscroft,7,D,R,75,206,191,93,1967-01-09,Creston,CAN,British Columbia,"","",false,Jamie Huscroft
8452353,https://assets.nhle.com/mugs/nhl/19881989/NJD/8452353.png,Eric,Weinrich,8,D,L,73,215,185,98,1966-12-19,Roanoke,USA,Virginia,"","",false,Eric Weinrich
8445657,https://assets.nhle.com/mugs/nhl/19891990/NJD/8445657.png,Neil,Brady,12,C,L,74,200,188,91,1968-04-12,Montréal,CAN,Quebec,"","",false,Neil Brady
8445690,https://assets.nhle.com/mugs/nhl/19891990/NJD/8445690.png,Bob,Brooke,13,R,R,71,195,180,88,1960-12-18,Melrose,USA,Massachusetts,"","",false,Bob Brooke
8450483,https://assets.nhle.com/mugs/nhl/19891990/NJD/8450483.png,Walt,Poddubny,8,L,L,73,210,185,95,1960-02-14,Thunder Bay,CAN,Ontario,"","",false,Walt Poddubny
8451689,https://assets.nhle.com/mugs/nhl/19891990/NJD/8451689.png,Peter,Stastny,26,C,L,73,200,185,91,1956-09-18,Bratislava,SVK,"","",false,"",Peter Stastny
8451784,https://assets.nhle.com/mugs/nhl/19891990/NJD/8451784.png,Peter,Sundstrom,25,L,L,72,180,183,82,1961-12-14,Skelleftea,SWE,"","",false,"",Peter Sundstrom
8451914,https://assets.nhle.com/mugs/nhl/19891990/NJD/8451914.png,Jim,Thomson,25,R,R,73,220,185,100,1965-12-30,Edmonton,CAN,Alberta,"","",false,Jim Thomson
8451988,https://assets.nhle.com/mugs/nhl/19891990/NJD/8451988.png,Sylvain,Turgeon,16,L,L,72,200,183,91,1965-01-17,Noranda,CAN,Quebec,"","",false,Sylvain Turgeon
8452225,https://assets.nhle.com/mugs/nhl/19891990/NJD/8452225.png,Claude,Vilgrain,19,L,R,73,205,185,93,1963-03-01,Port-Au-Prince,HTI,"","",false,"",Claude Vilgrain
8446789,https://assets.nhle.com/mugs/nhl/19891990/NJD/8446789.png,Viacheslav,Fetisov,2,D,L,73,215,185,98,1958-04-20,Moscow,RUS,"","",false,"",Viacheslav Fetisov
8448416,https://assets.nhle.com/mugs/nhl/19891990/NJD/8448416.png,Alexei,Kasatonov,7,D,L,73,215,185,98,1959-10-14,Leningrad,RUS,"","",false,"",Alexei Kasatonov
8451056,https://assets.nhle.com/mugs/nhl/19891990/NJD/8451056.png,Reijo,Ruotsalainen,29,D,R,68,165,173,75,1960-04-01,Oulu,FIN,"","",false,"",Reijo Ruotsalainen
8451680,https://assets.nhle.com/mugs/nhl/19891990/NJD/8451680.png,Sergei,Starikov,4,D,L,70,224,178,102,1958-12-04,Chelyabinsk,RUS,"","",false,"",Sergei Starikov
8445603,https://assets.nhle.com/mugs/nhl/19901991/NJD/8445603.png,Laurie,Boschman,16,C,L,72,185,183,84,1960-06-04,Major,CAN,Saskatchewan,"","",false,Laurie Boschman
8446133,https://assets.nhle.com/mugs/nhl/19901991/NJD/8446133.png,Zdeno,Ciger,18,L,L,73,190,185,86,1969-10-19,Martin,SVK,"","",false,"",Zdeno Ciger
8448772,https://assets.nhle.com/mugs/nhl/19901991/NJD/8448772.png,Claude,Lemieux,32,R,R,73,215,185,98,1965-07-16,Buckingham,CAN,Quebec,"","",false,Claude Lemieux
8449029,https://assets.nhle.com/mugs/nhl/19901991/NJD/8449029.png,Jeff,Madill,21,R,L,71,195,180,88,1965-06-21,Oshawa,CAN,Ontario,"","",false,Jeff Madill
8449632,https://assets.nhle.com/mugs/nhl/19901991/NJD/8449632.png,Jason,Miller,12,C,L,73,190,185,86,1971-03-01,Edmonton,CAN,Alberta,"","",false,Jason Miller
8451392,https://assets.nhle.com/mugs/nhl/19901991/NJD/8451392.png,Jarrod,Skalde,18,C,L,72,190,183,86,1971-02-26,Niagara Falls,CAN,Ontario,"","",false,Jarrod Skalde
8449136,https://assets.nhle.com/mugs/nhl/19901991/NJD/8449136.png,Dave,Marcinyshyn,42,D,L,75,210,191,95,1967-02-04,Edmonton,CAN,Alberta,"","",false,Dave Marcinyshyn
8449905,https://assets.nhle.com/mugs/nhl/19901991/NJD/8449905.png,Lee,Norwood,23,D,L,73,198,185,90,1960-02-02,Oakland,USA,California,"","",false,Lee Norwood
8449939,https://assets.nhle.com/mugs/nhl/19901991/NJD/8449939.png,Myles,O'Connor,4,D,L,71,190,180,86,1967-04-02,Calgary,CAN,Alberta,"","",false,Myles O'Connor
8449547,https://assets.nhle.com/mugs/nhl/19901991/NJD/8449547.png,Roland,Melanson,1,G,L,70,185,178,84,1960-06-28,Moncton,CAN,New Brunswick,"","",false,Roland Melanson
8445273,https://assets.nhle.com/mugs/nhl/19911992/NJD/8445273.png,Dave,Barr,11,R,R,73,195,185,88,1960-11-30,Toronto,CAN,Ontario,"","",false,Dave Barr
8446026,https://assets.nhle.com/mugs/nhl/19911992/NJD/8446026.png,Tom,Chorske,17,R,R,73,212,185,96,1966-09-18,Minneapolis,USA,Minnesota,"","",false,Tom Chorske
8455871,https://assets.nhle.com/mugs/nhl/19911992/NJD/8455871.png,Jeffrey,Christian,72,L,L,73,210,185,95,1970-07-30,Burlington,CAN,Ontario,"","",false,Jeffrey Christian
8456100,https://assets.nhle.com/mugs/nhl/19911992/NJD/8456100.png,Jim,Dowd,12,C,R,72,180,183,82,1968-12-25,Brick,USA,New Jersey,"","",false,Jim Dowd
8456464,https://assets.nhle.com/mugs/nhl/19911992/NJD/8456464.png,Bill,Guerin,13,R,R,74,220,188,100,1970-11-09,Worcester,USA,Massachusetts,"","",false,Bill Guerin
8449094,https://assets.nhle.com/mugs/nhl/19911992/NJD/8449094.png,Troy,Mallette,26,L,L,75,219,191,99,1970-02-25,Sudbury,CAN,Ontario,"","",false,Troy Mallette
8449450,https://assets.nhle.com/mugs/nhl/19911992/NJD/8449450.png,Randy,Mckay,21,R,R,74,210,188,95,1967-01-25,Montréal,CAN,Quebec,"","",false,Randy Mckay
8450825,https://assets.nhle.com/mugs/nhl/19911992/NJD/8450825.png,Stephane,Richer,44,R,R,74,218,188,99,1966-06-07,Ripon,CAN,Quebec,"","",false,Stephane Richer
8457983,https://assets.nhle.com/mugs/nhl/19911992/NJD/8457983.png,Alexander,Semak,20,C,R,70,190,178,86,1966-02-11,Ufa,RUS,"","",false,"",Alexander Semak
8458483,https://assets.nhle.com/mugs/nhl/19911992/NJD/8458483.png,Valeri,Zelepukin,29,L,L,73,200,185,91,1968-09-17,Voskresensk,RUS,"","",false,"",Valeri Zelepukin
8458517,https://assets.nhle.com/mugs/nhl/19911992/NJD/8458517.png,Scott,Niedermayer,27,D,L,73,194,185,88,1973-08-31,Edmonton,CAN,Alberta,"","",false,Scott Niedermayer
8451715,https://assets.nhle.com/mugs/nhl/19911992/NJD/8451715.png,Scott,Stevens,4,D,L,74,215,188,98,1964-04-01,Kitchener,CAN,Ontario,"","",false,Scott Stevens
8455710,https://assets.nhle.com/mugs/nhl/19911992/NJD/8455710.png,Martin,Brodeur,30,G,L,74,220,188,100,1972-05-06,Montréal,CAN,Quebec,"","",false,Martin Brodeur
8456191,https://assets.nhle.com/mugs/nhl/19911992/NJD/8456191.png,Chad,Erickson,30,G,R,69,175,175,79,1970-08-21,Warroad,USA,Minnesota,"","",false,Chad Erickson
8456182,https://assets.nhle.com/mugs/nhl/19921993/NJD/8456182.png,David,Emma,43,C,L,70,187,178,85,1969-01-14,Cranston,USA,Rhode Island,"","",false,David Emma
8456496,https://assets.nhle.com/mugs/nhl/19921993/NJD/8456496.png,Ben,Hankinson,14,R,R,74,210,188,95,1969-05-01,Edina,USA,Minnesota,"","",false,Ben Hankinson
8447958,https://assets.nhle.com/mugs/nhl/19921993/NJD/8447958.png,Bobby,Holik,16,C,R,76,230,193,104,1971-01-01,Jihlava,CZE,"","",false,"",Bobby Holik
8449881,https://assets.nhle.com/mugs/nhl/19921993/NJD/8449881.png,Bernie,Nicholls,9,C,R,72,190,183,86,1961-06-24,Haliburton,CAN,Ontario,"","",false,Bernie Nicholls
8457646,https://assets.nhle.com/mugs/nhl/19921993/NJD/8457646.png,Scott,Pellerin,18,L,L,71,190,180,86,1970-01-09,Shediac,CAN,New Brunswick,"","",false,Scott Pellerin
8458152,https://assets.nhle.com/mugs/nhl/19921993/NJD/8458152.png,Brian,Sullivan,28,R,R,76,195,193,88,1969-04-23,South Windsor,USA,Connecticut,"","",false,Brian Sullivan
