name,id,birthDate
Dave Chyzowski,chyzoda01,1971-07-11
Dean Clark,clarkde01,1964-01-10
Joe Colborne,colbojo01,1990-01-30
Jeremy Colliton,collije01,1985-01-13
Mac Colville,colvima01,1916-01-08
Neil Colville,colvine01,1914-08-04
Mike Commodore,commomi01,1979-11-07
Eric Comrie,comrier01,1995-07-06
Mike Comrie,comrimi01,1980-09-11
Paul Comrie,comripa01,1977-02-07
Pat Conacher,conacpa01,1959-05-01
Rob Conn,connro01,1968-09-03
Kevin Connauton,connake01,1990-02-23
Mike Connolly,connomi01,1989-07-03
Al Conroy,conroal01,1966-01-17
Ross Cory,coryro01,1957-02-04
Ray Cote,cotera01,1961-05-31
Murray Craven,cravemu01,1964-07-20
Cory Cross,crossco01,1971-01-03
Phil Crowe,croweph01,1970-04-04
Greg Crozier,crozigr01,1976-07-06
Maxwell Crozier,crozima01,2000-04-19
Les Cunningham,cunnile01,1913-10-04
Don Cutts,cuttsdo01,1953-02-24
Kirby Dach,dachki01,2001-01-21
Bunny Dame,damebu01,1913-12-06
Brandon Davidson,davidbr01,1991-08-21
Billy Dea,deabi01,1933-04-03
Zach Dean,deanza01,2003-01-04
Jake DeBrusk,debruja01,1996-10-17
Aaron Dell,dellaa01,1989-05-04
Nathan Dempsey,dempsna01,1974-07-14
Edward Diachuk,diached01,1936-08-16
Gerald Diduck,diducge01,1965-04-06
Darren Dietz,dietzda01,1993-07-17
Rob DiMaio,dimairo01,1968-02-19
Chris Dingman,dingmch01,1976-07-06
Shane Doan,doansh01,1976-10-10
Hnat Domenichelli,domenhn01,1976-02-17
Dave Donnelly,donneda01,1962-02-02
Eddie Dorohoy,dorohed01,1929-03-13
Justin Dowling,dowliju01,1990-10-01
Micki DuPont,duponmi01,1980-04-15
Steve Dykstra,dykstst01,1962-12-01
David Dziurzynski,dziurda01,1989-10-06
Murray Eaves,eavesmu01,1960-05-10
Patrick Eaves,eavespa01,1984-05-01
Garry Edmundson,edmunga01,1932-05-06
Pat Egan,eganpa01,1918-04-25
Allan Egeland,egelaal01,1973-01-31
Keaton Ellerby,ellerke01,1988-11-05
Deryk Engelland,engelde01,1982-04-03
Jim Ennis,ennisji01,1967-07-10
Tyler Ennis,ennisty01,1989-10-06
Aut Erickson,erickau01,1938-01-25
Ryker Evans,evansry01,2001-12-13
Bob Falkenberg,falkebo01,1946-01-01
Todd Fedoruk,fedorto01,1979-02-13
Taylor Fedun,fedunta01,1988-06-04
Andrew Ference,ferenan01,1979-03-17
Brad Ference,ferenbr01,1979-04-02
Scott Ferguson,fergusc01,1973-01-06
Vernon Fiddler,fiddlve01,1980-05-09
Jeff Finley,finleje01,1967-04-14
Joe Fisher,fishejo01,1916-07-04
Mark Fistric,fistrma01,1986-06-01
Trey Fix-Wolansky,fixwotr01,1999-05-26
Bill Flett,flettbi01,1943-07-21
Cale Fleury,fleurca01,1998-11-19
Justin Fontaine,fontaju01,1987-11-06
Val Fonteyne,fonteva01,1933-12-02
Spencer Foo,foosp01,1994-05-19
Brian Ford,fordbr01,1961-09-22
Kris Foucault,foucakr01,1990-12-12
Matt Fraser,frasema02,1990-05-20
Matt Frattin,frattma01,1988-01-03
Kyle Freadrich,freadky01,1978-12-28
Len Frig,frigle01,1950-10-30
Tanner Fritz,fritzta01,1991-08-20
Grant Fuhr,fuhrgr01,1962-09-28
Bill Gadsby,gadsbbi01,1927-08-08
Dutch Gainor,gainodu01,1904-04-10
T.J. Galiardi,galiatj01,1988-04-22
Brendan Gallagher,gallabr01,1992-05-06
Jamie Gallimore,gallija01,1957-11-28
Ryan Garbutt,garbury01,1985-08-12
Dallas Gaume,gaumeda01,1963-08-27
Bob Geale,gealebo01,1962-04-17
Mason Geertsen,geertma01,1995-04-19
Jeff Glass,glassje01,1985-11-19
Dave Goertz,goertda01,1965-03-28
Steven Goertzen,goertst01,1984-05-26
Steve Gotaas,gotaast01,1967-05-10
Tyrell Goulbourne,goulbty01,1994-01-26
Harrison Gray,grayha01,1941-09-05
Josh Green,greenjo01,1977-11-16
Mike Green,greenmi02,1979-08-23
Mike Green,greenmi03,1985-10-12
Randy Gregg,greggra01,1956-02-19
Noah Gregor,gregono01,1998-07-28
Bruce Greig,greigbr01,1953-05-09
Mark Greig,greigma01,1970-01-25
Ridly Greig,greigri01,2002-08-08
Dylan Guenther,guentdy01,2003-04-10
Brendan Guhle,guhlebr01,1997-07-29
Kaiden Guhle,guhleka01,2002-01-18
Kevan Guy,guyke01,1965-07-16
Len Haley,haleyle01,1931-09-15
Taylor Hall,hallta02,1991-11-14
Kevin Haller,halleke01,1970-12-05
James Hamblin,hamblja01,1999-04-27
Emil Hanson,hansoem01,1907-11-18
Oscar Hanson,hansoos01,1909-12-27
Jim Harrison,harriji01,1947-07-09
Carter Hart,hartca01,1998-08-13
Greg Hawgood,hawgogr01,1968-08-10
Zack Hayes,hayesza01,1999-04-24
Galen Head,headga01,1947-04-16
Paul Healey,healepa01,1975-03-20
Dillon Heatherington,heathdi01,1995-05-09
Mike Heidt,heidtmi01,1963-11-04
Archie Henderson,hendear01,1957-02-17
Jay Henderson,hendeja01,1978-09-17
Ian Herbers,herbeia01,1967-07-18
Fred Hergerts,hergefr01,1913-01-29
Thomas Hickey,hicketh01,1989-02-08
Alex Hicks,hicksal01,1969-09-04
Doug Hicks,hicksdo01,1955-05-28
Glenn Hicks,hicksgl01,1958-08-28
Matt Higgins,higgima01,1977-10-29
Hec Highton,highthe01,1923-12-10
John Hilworth,hilwojo01,1957-05-23
Akito Hirose,hirosak01,1999-04-09
Taro Hirose,hirosta01,1996-06-30
Corey Hirsch,hirscco01,1972-07-01
Justin Hocking,hockiju01,1974-01-09
Dan Hodgson,hodgsda01,1965-08-29
Rick Hodgson,hodgsri01,1956-05-23
Ted Hodgson,hodgste01,1945-06-30
Josh Holden,holdejo01,1978-01-18
Nick Holden,holdeni01,1987-05-15
Jason Holland,hollaja01,1976-04-30
Jerry Holland,hollaje01,1954-08-25
Dylan Holloway,hollody01,2001-09-23
Chuck Holmes,holmech01,1934-09-21
Doug Houda,houdado01,1966-06-03
Garry Howatt,howatga01,1952-09-26
Brett Howden,howdebr01,1998-03-29
Dave Hoyda,hoydada01,1957-05-20
Kelly Hrudey,hrudeke01,1961-01-13
Ron Hudson,hudsoro01,1911-07-14
Cameron Hughes,hugheca01,1996-10-09
Pat Hughes,hughepa01,1955-03-25
Cale Hulse,hulseca01,1973-11-10
Jamie Hunt,huntja01,1984-04-20
Tim Hunter,hunteti01,1960-09-10
Trent Hunter,huntetr01,1980-07-05
Bill Hutton,huttobi01,1910-01-28
Jarome Iginla,iginlja01,1977-07-01
Earl Ingarfield,ingarea01,1934-10-25
Leland Irving,irvinle01,1988-04-11
Brad Isbister,isbisbr01,1977-05-07
Kim Issel,isselki01,1967-09-25
Percy Jackson,jackspe01,1907-09-21
Jason Jaffray,jaffrja01,1981-06-30
Connor James,jamesco01,1982-08-25
Frank Jerwa,jerwafr01,1909-03-15
Rick Jodzio,jodziri01,1954-06-03
Nick Johnson,johnsni01,1985-12-24
Terry Johnson,johnste01,1958-11-28
Greg Joly,jolygr01,1954-05-30
Ron Jones,jonesro01,1951-04-11
Tyson Jost,jostty01,1998-03-14
Eddie Joyal,joyaled01,1940-05-08
Mark Kachowski,kachoma01,1965-02-20
Alex Kaleta,kaletal01,1919-11-29
Jon Kalinski,kalinjo01,1987-05-25
Matt Kassian,kassima01,1986-10-28
Matt Keetley,keetlma01,1986-04-27
Matt Keith,keithma01,1983-04-11
John Paul Kelly,kellyjo01,1959-11-15
Parker Kelly,kellypa01,1999-06-14
Ernest Kenny,kennyer01,1907-08-20
Bryce Kindopp,kindobr01,1999-06-14
Orest Kindrachuk,kindror01,1950-09-14
Kelly Kisio,kisioke01,1959-09-18
Morgan Klimchuk,klimcmo01,1995-03-02
Rob Klinkhammer,klinkro01,1986-08-12
Joe Kocur,kocurjo01,1964-12-21
Dustin Kohn,kohndu01,1987-02-02
Krys Kolanos,kolankr01,1981-07-27
Dean Kolstad,kolstde01,1968-06-16
Zenith Komarniski,komarze01,1978-08-13
Russ Kopak,kopakru01,1924-04-26
Dan Kordic,kordida01,1971-04-18
John Kordic,kordijo01,1965-03-22
Peyton Krebs,krebspe01,2001-01-26
Kevin Krook,krookke01,1958-04-05
Gord Kruppke,kruppgo01,1969-04-02
Dave Kryskow,kryskda01,1951-12-25
Brett Kulak,kulakbr01,1994-01-06
Stu Kulak,kulakst01,1963-03-10
Blaine Lacher,lachebl01,1970-09-05
Daymond Langkow,langkda01,1976-09-27
Scott Langkow,langksc01,1975-04-21
Darryl Laplante,laplada01,1977-03-28
Brian Lavender,lavenbr01,1947-04-20
Nathan Lawson,lawsona01,1983-09-29
Brett Leason,leasobr01,1999-04-30
Doug Lecuyer,lecuydo01,1958-03-10
Brad Leeb,leebbr01,1979-08-27
Greg Leeb,leebgr01,1977-05-31
Scott Lehman,lehmasc01,1986-01-06
Mark Letestu,letesma01,1985-02-04
Craig Levie,leviecr01,1959-08-17
Tyler Lewington,lewinty01,1994-12-05
Dale Lewis,lewisda01,1952-07-28
Herbie Lewis,lewishe01,1906-04-17
Bob Liddington,liddibo01,1948-09-15
Jamie Linden,lindeja01,1972-07-19
Trevor Linden,lindetr01,1970-04-11
Bryan Little,littlbr01,1987-11-12
Neil Little,littlne01,1971-12-18
Darcy Loewen,loeweda01,1969-02-26
Troy Loney,loneytr01,1963-09-21
Ken Lovsin,lovsike01,1966-12-03
Warren Luhning,luhniwa01,1975-07-03
Jamie Lundmark,lundmja01,1981-01-16
Ross Lupaschuk,lupasro01,1981-01-19
Joffrey Lupul,lupuljo01,1983-09-23
Brett Lysak,lysakbr01,1980-12-30
Tom Lysiak,lysiato01,1953-04-22
Clarke MacArthur,macarcl01,1985-04-06
Bruce MacGregor,macgrbr01,1941-04-26
Spencer Machacek,machasp01,1988-10-14
Dave MacKay,mackada01,1919-01-14
John MacMillan,macmijo01,1935-10-25
Bud MacPherson,macphbu01,1927-03-31
Andrew MacWilliam,macwian01,1990-03-25
Dean Magee,mageede01,1955-04-29
Marc Magnan,magnama01,1962-02-17
Josh Mahura,mahurjo01,1998-05-05
Cale Makar,makarca01,1998-10-30
Clint Malarchuk,malarcl01,1961-05-01
Kent Manderville,mandeke01,1971-04-12
Paul Manning,mannipa01,1979-04-15
Milan Marcetta,marcemi01,1936-09-19
Dave Marcinyshyn,marcida01,1967-02-04
Gordon Mark,markgo01,1964-09-10
Gus Marker,markegu01,1907-08-01
Mark Marquess,marquma01,1925-03-26
Ron Martin,martiro01,1909-08-22
Chris Mason,masonch02,1976-04-20
Richard Matvichuk,matviri01,1973-02-05
Kevin Maxwell,maxweke01,1960-03-30
Alan May,mayal01,1965-01-14
Darrell May,mayda01,1962-03-06
Dean McAmmond,mcammde01,1973-06-15
Ken McAuley,mcaulke01,1921-01-09
Wayne McBean,mcbeawa01,1969-02-21
Frank McCool,mccoofr01,1918-10-27
John McCormack,mccorjo01,1925-08-02
Jim McCrimmon,mccriji01,1953-05-29
Lanny McDonald,mcdonla01,1953-02-16
Don McFadyen,mcfaddo01,1907-03-24
Bob McGill,mcgilbo01,1962-04-27
Jack McGill,mcgilja02,1920-09-19
Jack McIlhargey,mcilhja01,1952-03-07
Ray McKay,mckayra01,1946-08-22
Ross McKay,mckayro01,1964-03-03
John McKenzie,mckenjo01,1937-12-12
Jamie McLennan,mclenja01,1971-06-30
Al McLeod,mcleoal01,1949-06-17
Bobby McMann,mcmanbo02,1996-06-15
Billy McNeill,mcneibi01,1936-01-26
Grant McNeill,mcneigr01,1983-06-08
Gerry Melnyk,melnyge01,1934-09-16
Nicholas Merkley,merklni01,1997-05-23
Glenn Merkosky,merkogl01,1959-04-08
Mark Messier,messima01,1961-01-18
Stefan Meyer,meyerst01,1985-07-20
Art Michaluk,michaar01,1923-05-04
John Michaluk,michajo01,1928-11-02
Larry Mickey,mickela01,1943-10-21
Jacob Middleton,middlja01,1996-01-02
Keaton Middleton,middlke01,1998-02-10
Hugh Millar,millahu01,1921-04-03
Brad Miller,millebr01,1969-07-23
Jason Miller,milleja03,1971-03-01
Duncan Milroy,milrodu01,1983-02-08
Ian Mitchell,mitchia01,1999-01-18
Roy Mitchell,mitchro01,1969-03-14
Lyle Moffat,moffaly01,1948-03-19
Carl Mokosak,mokosca01,1962-09-22
John Mokosak,mokosjo01,1963-09-07
Mike Moller,mollemi01,1962-06-16
Randy Moller,mollera01,1963-08-23
Mike Moore,mooremi01,1984-12-12
Derek Morris,morride01,1978-08-24
Josh Morrissey,morrijo04,1995-03-28
Joseph Morrow,morrojo02,1992-12-09
Kael Mouillierat,mouilka01,1987-12-09
Richard Mulhern,mulheri01,1955-03-01
Glenn Mulvenna,mulvegl01,1967-02-18
Matt Murray,murrama03,1998-02-02
Troy Murray,murratr01,1962-07-31
Dana Murzyn,murzyda01,1966-12-09
David Musil,musilda01,1993-04-09
Hap Myers,myersha01,1947-07-28
Brantt Myhres,myhrebr01,1974-03-18
Riley Nash,nashri02,1989-05-09
Tyson Nash,nashty01,1975-03-11
Mike Needham,needhmi01,1970-04-04
Jake Neighbours,neighja01,2002-03-29
Steve Nemeth,nemetst01,1967-02-11
Scott Nichol,nichosc01,1974-12-31
Scott Niedermayer,niedesc01,1973-08-31
Jim Nill,nillji01,1958-04-11
Robert Nilsson,nilssro01,1985-01-10
Baldy Northcott,northba01,1908-09-07
Lawrence Nycholat,nychola01,1979-05-07
Alexander Nylander,nylanal01,1998-03-02
William Nylander,nylanwi01,1996-05-01
Brian Ogilvie,ogilvbr01,1952-01-30
Bill Oleschuk,olescbi01,1955-07-20
Darryl Olsen,olsenda01,1966-10-07
Ben Ondrus,ondrube01,1982-06-25
Dave Orleski,orlesda01,1959-12-26
Chris Osgood,osgooch01,1972-11-26
Zack Ostapchuk,ostapza01,2003-05-29
Greg Pankewicz,pankegr01,1970-11-06
Colton Parayko,parayco01,1993-05-12
George Pargeter,pargege01,1923-02-24
Greg Parks,parksgr01,1967-03-25
Brinson Pasichnuk,pasicbr01,1997-11-24
Dave Pasin,pasinda01,1966-07-08
Butch Paul,paulbu01,1943-09-11
Allen Pedersen,pederal01,1965-01-13
Pete Peeters,peetepe01,1957-08-17
Perry Pelensky,pelenpe01,1962-05-22
Brent Peterson,peterbr01,1958-02-15
Brent Peterson,peterbr02,1972-07-20
Richard Petiot,petiori01,1982-08-20
Alexander Petrovic,petroal01,1992-03-03
Matt Pettinger,pettima01,1980-10-22
Dion Phaneuf,phanedi01,1985-04-10
Chris Phillips,phillch02,1978-03-09
Matthew Phillips,phillma01,1998-04-06
Luke Philp,philplu01,1995-11-06
Fernando Pisani,pisanfe01,1976-12-27
Domenic Pittis,pittido01,1974-10-01
Harvie Pocza,poczaha01,1959-09-22
Ray Podloski,podlora01,1966-01-05
Justin Pogge,poggeju01,1986-04-22
Brayden Point,pointbr01,1996-03-13
Greg Polis,polisgr01,1950-08-08
Paul Postma,postmpa01,1989-02-22
Kelly Pratt,prattke01,1953-02-08
Nolan Pratt,prattno01,1975-08-14
Kevin Primeau,primeke01,1956-01-03
Jamie Pushor,pushoja01,1973-02-11
Mark Pysyk,pysykma01,1992-01-11
John Quenneville,quennjo02,1996-04-16
Brendan Ranford,ranfobr01,1992-05-03
Mike Rathje,rathjmi01,1974-05-11
Ty Rattie,rattity01,1993-02-05
Mason Raymond,raymoma01,1985-09-17
Steve Regier,regiest01,1984-08-31
Brent Regner,regnebr01,1989-05-17
Darren Reid,reidda03,1983-05-08
Dave Reierson,reierda01,1964-08-30
Cole Reinhardt,reinhco01,2000-02-01
Steve Reinprecht,reinpst01,1976-05-07
Sheldon Rempal,rempash01,1995-08-07
Matt Rempe,rempema01,2002-06-29
Alex Ritson,ritsoal01,1922-03-07
Travis Roche,rochetr01,1978-06-17
Dave Rochefort,rocheda01,1946-07-22
Jack Rodewald,rodewja01,1994-02-14
Stacy Roest,roestst01,1974-03-15
Mike Rogers,rogermi01,1954-10-24
Jay Rosehill,rosehja01,1985-07-16
Kyle Rossiter,rossiky01,1980-06-09
Carter Rowney,rowneca01,1989-05-10
Cody Rudkowsky,rudkoco01,1978-07-21
Lindy Ruff,ruffli01,1960-02-17
Paul Runge,rungepa01,1908-09-10
Kris Russell,russekr01,1987-05-02
Phil Russell,russeph01,1952-07-21
Ryan Russell,russery01,1987-05-02
Rick Rypien,rypieri01,1984-05-16
Rocky Saganiuk,saganro01,1957-10-15
Phil Samis,samisph01,1927-12-28
Terran Sandwith,sandwte01,1972-04-17
Glen Sather,sathegl01,1943-09-02
Tony Savage,savagto01,1906-07-18
Matthew Savoie,savoima01,2004-01-01
Zachary Sawchenko,sawchza01,1997-12-30
Dave Scatchard,scatcda01,1976-02-20
Colton Sceviour,scevico01,1989-04-20
Darin Sceviour,scevida01,1965-11-30
Paxton Schafer,schafpa01,1976-02-26
Kevin Schamehorn,schamke01,1956-07-28
David Schlemko,schleda01,1987-05-07
Chris Schmidt,schmich01,1976-03-01
Andy Schneider,schnean01,1972-03-29
Wally Schreiber,schrewa01,1962-04-15
Paxton Schulte,schulpa01,1972-07-16
Jeff Schultz,schulje02,1986-02-25
Ray Schultz,schulra01,1976-11-14
John Scott,scottjo01,1982-09-26
Ben Scrivens,scrivbe01,1986-09-11
Sean Selmser,selmsse01,1974-11-10
Brandy Semchuk,semchbr01,1971-09-22
Devin Setoguchi,setogde01,1987-01-01
Brent Severyn,severbr01,1966-02-22
Dave Shand,shandda01,1956-08-11
Jeff Shantz,shantje01,1973-10-10
Mason Shaw,shawma01,1998-11-03
Hunter Shinkaruk,shinkhu01,1994-10-13
Jim Shires,shireji01,1945-11-15
Gary Shuchuk,shuchga01,1967-02-17
Duncan Siemens,siemedu01,1993-09-07
Trevor Sim,simtr01,1970-06-09
Dillon Simpson,simpsdi01,1993-02-10
Kent Simpson,simpske01,1992-03-26
Stuart Skinner,skinnst01,1998-11-01
Brian Skrudland,skrudbr01,1963-07-31
Tyler Sloan,sloanty01,1981-03-15
Colin Smith,smithco01,1993-06-20
Geoff Smith,smithge01,1969-03-07
Greg Smith,smithgr01,1955-07-08
Jason Smith,smithja01,1973-11-02
Mark Smith,smithma01,1977-10-24
Nathan Smith,smithna02,1982-02-09
Ty Smith,smithty01,2000-03-24
Stan Smyl,smylst01,1958-01-28
Kevin Smyth,smythke01,1973-11-22
Ryan Smyth,smythry01,1976-02-21
Harold Snepsts,snepsha01,1954-10-24
Doug Soetaert,soetado01,1955-04-21
Ken Solheim,solheke01,1961-03-27
Martin Sonnenberg,sonnema01,1978-01-23
Brent Sopel,sopelbr01,1977-01-07
Lee Sorochan,sorocle01,1975-09-09
Carson Soucy,soucyca01,1994-07-27
Sheldon Souray,sourash01,1976-07-13
Matthew Spiller,spillma01,1983-02-07
Jared Spurgeon,spurgja01,1989-11-29
Ryan Stanton,stantry01,1989-07-20
Vic Stasiuk,stasivi01,1929-05-23
Sam Steel,steelsa01,1998-02-03
Grant Stevenson,stevegr01,1981-10-15
Ron Stewart,stewaro01,1932-07-11
Tony Stiles,stileto01,1959-08-12
Karl Stollery,stollka01,1987-11-21
Ryan Stone,stonery01,1985-03-20
Austin Strand,stranau01,1997-02-17
Gord Strate,stratgo01,1935-05-28
Garret Stroshein,strosga01,1980-04-04
Jason Strudwick,strudja01,1975-07-17
Brad Stuart,stuarbr02,1979-11-06
Bob Stumpf,stumpbo01,1953-04-25
Brian Sutherby,suthebr01,1982-03-01
Brent Sutter,suttebr02,1962-06-10
Brett Sutter,suttebr04,1987-06-02
Brian Sutter,suttebr01,1956-10-07
Brody Sutter,suttebr05,1991-09-26
Darryl Sutter,sutteda01,1958-08-19
Duane Sutter,suttedu01,1960-03-16
Rich Sutter,sutteri01,1963-12-02
Ron Sutter,suttero01,1963-12-02
Ken Sutton,suttoke01,1969-11-05
Darryl Sydor,sydorda01,1972-05-13
Robbie Tallas,tallaro01,1973-03-20
Jeff Tambellini,tambeje01,1984-04-13
Nick Tarnasky,tarnani01,1984-11-25
Bobby Taylor,taylobo02,1945-01-24
Josh Teves,tevesjo01,1995-02-18
Ben Thomas,thomabe01,1996-05-28
Dave Thomlinson,thomlda01,1966-10-22
Brent Thompson,thompbr01,1971-01-09
Logan Thompson,thomplo01,1997-02-25
Paul Thompson,thomppa01,1906-11-02
Rocky Thompson,thompro01,1977-08-08
Jim Thomson,thomsji02,1965-12-30
Mark Tinordi,tinorma01,1966-05-09
Mike Toal,toalmi01,1959-03-23
Ryan Tobler,toblery01,1976-05-13
Matt Tomkins,tomkima01,1994-06-19
Tim Tookey,tooketi01,1960-08-29
Brayden Tracey,tracebr01,2001-05-28
Darcy Tucker,tuckeda01,1975-03-15
Perry Turnbull,turnbpe01,1959-03-09
Randy Turnbull,turnbra01,1962-02-07
Brian Tutt,tuttbr01,1962-06-09
Carsen Twarynski,twaryca01,1997-11-24
Tony Twist,twistto01,1968-05-09
Dana Tyrell,tyrelda01,1989-04-23
Norm Ullman,ullmano01,1935-12-26
Garry Unger,ungerga01,1947-12-07
Scottie Upshall,upshasc01,1983-10-07
Curtis Valk,valkcu01,1993-02-08
Garry Valk,valkga01,1967-11-27
Shaun Van Allen,vanalsh01,1967-08-29
Bryce Van Brabant,vanbrbr01,1991-11-12
David Van Drunen,vandrda01,1976-01-31
Jim Vandermeer,vandeji01,1980-02-21
Peter Vandermeer,vandepe01,1975-10-14
Mike Vernon,vernomi01,1963-02-24
Kris Versteeg,verstkr01,1986-05-13
Leigh Verstraete,verstle01,1962-01-06
Emanuel Viveiros,viveiem01,1966-01-08
Mickey Volcan,volcami01,1962-03-03
Austin Wagner,wagneau01,1997-06-23
Darcy Wakaluk,wakalda01,1966-03-14
Howard Walker,walkeho01,1958-08-05
Matt Walker,walkema01,1980-04-07
Russ Walker,walkeru01,1953-05-24
Wes Walz,walzwe01,1970-05-15
Kyle Wanvig,wanviky01,1981-01-29
Dixon Ward,warddi01,1968-09-23
Ed Ward,warded01,1969-11-10
Lance Ward,wardla01,1978-06-02
Eddie Wares,waresed01,1915-03-19
Stan Weir,weirst01,1952-03-17
Craig Weller,wellecr01,1981-01-17
Chris Wells,wellsch01,1975-11-12
John Wensink,wensijo01,1953-04-01
Brad Werenka,werenbr01,1969-02-12
Blake Wesley,weslebl01,1959-07-10
Glen Wesley,weslegl01,1968-10-02
Ray Whitney,whitnra01,1972-05-08
Jason Widmer,widmeja01,1973-08-01
Bob Wilkie,wilkibo01,1969-02-11
Shane Willis,willish01,1977-06-13
Jerry Wilson,wilsoje01,1937-04-10
Robert Wood,woodro01,1930-07-09
Jeff Woywitka,woywije01,1983-09-01
Randy Wyrozub,wyrozra01,1950-04-08
Gary Yaremchuk,yaremga01,1961-08-15
Ken Yaremchuk,yaremke01,1964-01-01
Allen York,yorkal01,1989-06-17
Harry York,yorkha01,1974-04-16
Doug Young,youngdo01,1908-10-01
Miles Zaharko,zaharmi01,1957-04-30
Zarley Zalapski,zalapza01,1968-04-22
Brad Zavisha,zavisbr01,1972-01-04
Olen Zellweger,zellwol01,2003-09-10
Dwayne Zinger,zingedw01,1976-07-05
Bryan Adams,adamsbr01,1977-03-20
Greg Adams,adamsgr01,1960-05-31
Greg Adams,adamsgr02,1963-08-15
Bruce Affleck,afflebr01,1954-05-05
Micah Aivazoff,aivazmi01,1969-05-04
Ray Allison,allisra01,1959-03-04
Karl Alzner,alzneka01,1988-09-24
Glenn Anderson,andergl01,1960-10-02
Ron Andruff,andruro01,1953-07-10
Greg Andrusak,andrugr01,1969-11-14
Dave Archibald,archida01,1969-04-14
Ron Areshenkoff,areshro01,1957-06-13
Dean Arsene,arsende01,1980-07-20
Don Ashby,ashbydo01,1955-03-08
Kevin Bahl,bahlke01,2000-06-27
Arshdeep Bains,bainsar01,2001-01-09
Jeff Bandura,banduje01,1957-02-04
Don Barber,barbedo01,1964-12-02
